5.669931655399001e+19,5.669931655399001e+19,5.669931655399001e+19
6.2517096459343495e+19,6.2517096459343495e+19,6.251709865836675e+19
6.1251980788238385e+19,6.12519851862849e+19,6.125198951561193e+19
4.972080421342596e+19,4.9720808611472474e+19,4.972081081049573e+19
9.612467211692147e+19,9.612468091301449e+19,9.6124685311061e+19
8.468188748088921e+19,8.468189627698224e+19,8.4681902874052e+19
1.062624507999929e+20,1.0626245959608592e+20,1.0626246399413243e+20
7.013593798364522e+19,7.013594238169173e+19,7.013594458071499e+19
6.625863777164198e+19,6.6258646567735e+19,6.6258646567735e+19
4.135155040121363e+19,4.135155040121363e+19,4.13515531499927e+19
9.239794342527238e+19,9.239794342527238e+19,9.23979478233189e+19
8.757779000221866e+19,8.757779879831169e+19,8.75778031963582e+19
5.942555123701409e+19,5.9425555635060605e+19,5.942555999015744e+19
4.9537317712982704e+19,4.953732650907573e+19,4.953732870809898e+19
1.0105118789679972e+20,1.0105118789679972e+20,1.0105119229484623e+20
6.553047080298453e+19,6.5530475201031045e+19,6.553047904932174e+19
8.915137585951959e+19,8.915139345170563e+19,8.915139345170563e+19
1.3235912179074466e+20,1.3235912179074466e+20,1.3235912618879117e+20
1.2108638322501773e+20,1.2108640081720377e+20,1.2108640081720377e+20
1.6227296290159985e+19,1.622729848918324e+19,1.622729848918324e+19
4.794340408470746e+19,4.794340848275397e+19,4.794341178128885e+19
4.930659619301019e+19,4.930659619301019e+19,4.930659866691135e+19
8.384493922982612e+19,8.384494802591914e+19,8.384495352347728e+19
8.01203743770605e+19,8.01203743770605e+19,8.012037877510701e+19
1.4897298437899813e+19,1.489729953741144e+19,1.4897300362045161e+19
1.303122885366629e+20,1.3031229733275592e+20,1.3031230173080243e+20
7.706241263788989e+19,7.706241263788989e+19,7.70624170359364e+19
3.4714625537074004e+19,3.471462773609726e+19,3.47146293853647e+19
5.821177836087961e+19,5.8211787156972634e+19,5.821178770672845e+19
9.421182095175398e+19,9.4211829747847e+19,9.4211829747847e+19
2.608615965959022e+19,2.608615965959022e+19,2.6086161308857663e+19
8.843556740155834e+19,8.843557619765137e+19,8.843557839667462e+19
1.292436687875809e+20,1.2924367758367392e+20,1.2924368198172043e+20
7.798360986791969e+19,7.798361866401271e+19,7.798362306205922e+19
3.2956999025469424e+19,3.295700122449268e+19,3.2957002324004307e+19
6.508577552415379e+19,6.50857799222003e+19,6.50857831520157e+19
1.5316368498733613e+19,1.531636959824524e+19,1.531636959824524e+19
6.073236918513749e+19,6.0732373583184e+19,6.0732373583184e+19
1.0234843569571496e+20,1.02348453287901e+20,1.02348453287901e+20
